#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'F','000000','HPH 304CZ-17','OK-7777','KN','Y','Y'
'F','000002','LS-6 18','OY-XRG','G2','Y','Y'
'F','000010','Unknown','D-EEAC','AC','Y','Y'
'F','000011','Skylane Airlony','D-MTEW','EW','Y','Y'
'F','000013','PA-28','D-EZIP','IP','Y','Y'
'O','000015','Paraglider','36445','','Y','Y'
'F','0000FD','Taurus','F-JRDN','DN','Y','Y'
'F','000114','','','','N','N'
'O','000146','Paraglider','000146','','Y','Y'
'O','000287','Paraglider','32712','','Y','Y'
'F','000296','Unknown','D-IEST','','Y','Y'
'F','000333','ASG-29','N229CW','S2H','Y','Y'
'F','000338','Unknown','','','Y','Y'
'O','000343','Paraglider','Thomas','','Y','Y'
'F','000368','PIK-20 B','C-GORE','GP','Y','Y'
'O','000410','HangGlider','','','Y','Y'
'F','000414','Paraglider','','','Y','Y'
'F','000451','ASG-29','N232FG','FG','Y','Y'
'F','000457','ASW-20','OK-9496','96','Y','Y'
'F','000481','Pegase','n626ca','E2','Y','Y'
'F','000503','SZD-48-1 Jantar Std 2','SP-3152','DG','Y','Y'
'F','000597','LS-6','D-8997','IV','Y','Y'
'F','000617','ASW-20','OE-5292','A2','Y','Y'
'F','000654','Apis 2','G CJDL','DL','Y','Y'
'F','000671','Stemme S-10','D KSAB','AB','Y','Y'
'O','000840','','','','Y','N'
'F','000844','ASW-20','D-KYVG','','Y','Y'
'O','000871','Paraglider','D-NDII','','Y','Y'
'O','000888','Paraglider','52143','','Y','Y'
'F','000935','ASH-25 MI','HB-2393','RM','Y','Y'
'F','000967','Paraglider','38693','','Y','Y'
'F','001030','ASW-19','D-6985','KHM','Y','Y'
'F','001032','LS-1 d','F-CDVV','L21','Y','Y'
'F','001232','Ventus','D-6065','G6','Y','Y'
'F','001247','SZD-48-1 Jantar Std 2','SP-3212','B3','Y','Y'
'F','001281','Other','VH-GQO','','Y','Y'
'F','001352','Motorplane','HBEHS','','Y','Y'
'F','001474','Discus 2','N164AF','7AF','Y','Y'
'F','001502','','','','Y','N'
