"AircraftDescription","Description","Designator","EngineCount","EngineType","ManufacturerCode","ModelFullName","WTC"
"LandPlane","L2J","J328","2","Jet","328 SUPPORT SERVICES","Dornier 328JET","M"
"LandPlane","L1P","UL45","1","Piston","3XTRIM","450 Ultra","L"
"LandPlane","L1P","UL45","1","Piston","3XTRIM","Ultra","L"
"LandPlane","L1P","TR55","1","Piston","3XTRIM","550 Trener","L"
"LandPlane","L1P","TR55","1","Piston","3XTRIM","Trener  ","L"
"LandPlane","L1P","UL45","1","Piston","3XTRIM","3X-47 Ultra","L"
"LandPlane","L1P","TR55","1","Piston","3XTRIM","3X-55 Trener","L"
"LandPlane","L1P","TR55","1","Piston","3XTRIM","3X-LS Navigator 600","L"
"LandPlane","L1P","TR55","1","Piston","3XTRIM","Navigator 600","L"
"Amphibian","A2P","CE22","2","Piston","A-41","VNS-41","L"
"Amphibian","A1P","PETR","1","Piston","AAC","SeaStar","L"
"LandPlane","L1P","BMAN","1","Piston","AAK","Bushman","L"
"LandPlane","L1P","HRNT","1","Piston","AAK","Hornet","L"
"LandPlane","L1P","WSP","1","Piston","AAK","Wasp","L"
"LandPlane","L1P","A9","1","Piston","AAMSA","A-9 Quail","L"
"LandPlane","L1P","A9","1","Piston","AAMSA","Quail","L"
"LandPlane","L1T","JCRU","1","Turboprop/Turboshaft","AASI","Jetcruzer","L"
"Helicopter","H1T","GAZL","1","Turboprop/Turboshaft","ABHCO","Gazelle","L"
"Helicopter","H1T","GAZL","1","Turboprop/Turboshaft","ABHCO","SA-342 Gazelle","L"
"LandPlane","L1P","RF9","1","Piston","ABS","RF-9","L"
"Gyrocopter","G1P","XNON","1","Piston","ABS AEROLIGHT","Xenon","L"
"LandPlane","L1P","MIDR","1","Piston","ACBA","ACBA-8 Midour 2","L"
"LandPlane","L1P","MIDR","1","Piston","ACBA","Midour 2","L"
"LandPlane","L1P","JACE","1","Piston","ACE","Junior Ace","L"
"LandPlane","L1P","SACE","1","Piston","ACE","Super Ace","L"
"LandPlane","L1P","ARKS","1","Piston","ACEAIR","A-200 Aeriks 200","L"
"LandPlane","L1P","ARKS","1","Piston","ACEAIR","A-200 Aeris 200","L"
"LandPlane","L1P","ARKS","1","Piston","ACEAIR","Aeriks 200","L"
"LandPlane","L1P","ARKS","1","Piston","ACEAIR","Aeris 200","L"
"LandPlane","L1P","CUB2","1","Piston","ACES HIGH","Cuby 2","L"
"LandPlane","L1P","ACRO","1","Piston","ACRO SPORT","Acro-Sport 1","L"
"LandPlane","L1P","ACR2","1","Piston","ACRO SPORT","Acro-Sport 2","L"
"LandPlane","L1P","COUG","1","Piston","ACRO SPORT","Cougar","L"
"LandPlane","L1P","JACE","1","Piston","ACRO SPORT","Junior Ace","L"
"LandPlane","L1P","SACE","1","Piston","ACRO SPORT","Super Ace","L"
"LandPlane","L1P","ACRO","1","Piston","ACRO SPORT","Super Acro-Sport","L"
"LandPlane","L1P","SORA","1","Piston","ACS","ACS-100 Sora","L"
"LandPlane","L1P","SORA","1","Piston","ACS","Sora","L"
"LandPlane","L1P","T211","1","Piston","AD AEROSPACE","T-211","L"
"LandPlane","L1J","LCA","1","Jet","ADA","LCA Tejas","M"
"LandPlane","L1J","LCA","1","Jet","ADA","Tejas","M"
"LandPlane","L1P","RA14","1","Piston","ADAM (1)","Loisirs","L"
"LandPlane","L1P","RA14","1","Piston","ADAM (1)","RA-14 Loisirs","L"
"LandPlane","L1P","RA17","1","Piston","ADAM (1)","RA-17","L"
"LandPlane","L2P","A500","2","Piston","ADAM (2)","A-500","L"
"LandPlane","L2P","A500","2","Piston","ADAM (2)","A-500 CarbonAero","L"
"LandPlane","L2J","A700","2","Jet","ADAM (2)","A-700 AdamJet","L"
"LandPlane","L2J","A700","2","Jet","ADAM (2)","AdamJet","L"
"LandPlane","L2P","A500","2","Piston","ADAM (2)","CarbonAero","L"
"LandPlane","L1P","T211","1","Piston","ADAMS","T-211","L"
"Amphibian","A1P","BUCA","1","Piston","ADVANCED AEROMARINE","Mallard","L"
"LandPlane","L2T","C21T","2","Turboprop/Turboshaft","ADVANCED AIRCRAFT","Regent 1500","L"
"LandPlane","L1T","C10T","1","Turboprop/Turboshaft","ADVANCED AIRCRAFT","Spirit 750","L"
"LandPlane","L1T","C10T","1","Turboprop/Turboshaft","ADVANCED AIRCRAFT","Turbine P210","L"
"Amphibian","A1P","BUCA","1","Piston","ADVANCED AVIATION","Buccaneer","L"
"Amphibian","A1P","ADVN","1","Piston","ADVENTURE AIR","Adventurer","L"
"LandPlane","L1T","EX5T","1","Turboprop/Turboshaft","AEA","Explorer 500T","L"
"LandPlane","L1P","MAVR","1","Piston","AEA","Maverick","L"
"LandPlane","L1P","AM3","1","Piston","AERFER-AERMACCHI","AM-3","L"
"LandPlane","L1J","AMX","1","Jet","AERITALIA","AMX Ghibli","M"
"LandPlane","L2T","G222","2","Turboprop/Turboshaft","AERITALIA","G-222","M"
"LandPlane","L1J","AMX","1","Jet","AERITALIA","Ghibli","M"
"LandPlane","L2J","TOR","2","Jet","AERITALIA","Tornado","M"
"LandPlane","L1P","AM3","1","Piston","AERITALIA-AERMACCHI","AM-3","L"
"LandPlane","L1P","LA60","1","Piston","AERMACCHI","AL-60","L"
"LandPlane","L1P","LA60","1","Piston","AERMACCHI","AL-60 Conestoga","L"
"LandPlane","L1P","LA60","1","Piston","AERMACCHI","AL-60 Trojan","L"
"LandPlane","L1J","AMX","1","Jet","AERMACCHI","AMX Ghibli","M"
"LandPlane","L1P","LA60","1","Piston","AERMACCHI","Conestoga","L"
"LandPlane","L1J","AMX","1","Jet","AERMACCHI","Ghibli","M"
"LandPlane","L1P","F260","1","Piston","AERMACCHI","F-260E","L"
"LandPlane","L1P","F260","1","Piston","AERMACCHI","F-260F","L"
"LandPlane","L1T","L90","1","Turboprop/Turboshaft","AERMACCHI","M-290TP Redigo","L"
"LandPlane","L1J","M326","1","Jet","AERMACCHI","MB-326","L"
"LandPlane","L1J","M339","1","Jet","AERMACCHI","MB-339","L"
"LandPlane","L1T","L90","1","Turboprop/Turboshaft","AERMACCHI","Redigo","L"
"LandPlane","L1P","F260","1","Piston","AERMACCHI","T-260","L"
"LandPlane","L1P","LA60","1","Piston","AERMACCHI","Trojan","L"
"LandPlane","L1P","F260","1","Piston","AERMACCHI","SF-260E","L"
"LandPlane","L1P","F260","1","Piston","AERMACCHI","SF-260F","L"
"LandPlane","L1T","F26T","1","Turboprop/Turboshaft","AERMACCHI","SF-260T","L"
"LandPlane","L2J","M346","2","Jet","AERMACCHI","M-346 Master","M"
"LandPlane","L2J","M346","2","Jet","AERMACCHI","T-346 Master","M"
"LandPlane","L2J","M346","2","Jet","AERMACCHI","Master","M"
"LandPlane","L1P","LA60","1","Piston","AERMACCHI","AL-60 Loadmaster","L"
"LandPlane","L1T","LA6T","1","Turboprop/Turboshaft","AERMACCHI","AL-60 Turbine Grizzly","L"
"LandPlane","L1P","LA60","1","Piston","AERMACCHI","Loadmaster","L"
"LandPlane","L1T","LA6T","1","Turboprop/Turboshaft","AERMACCHI","Turbine Grizzly","L"
"LandPlane","L2P","AC50","2","Piston","AERO (1)","Commander 500","L"
"LandPlane","L2P","AC52","2","Piston","AERO (1)","Commander 520","L"
"LandPlane","L2P","AC56","2","Piston","AERO (1)","Commander 560","L"
"LandPlane","L2P","AC68","2","Piston","AERO (1)","Commander 680 Super","L"
"LandPlane","L2P","AC68","2","Piston","AERO (1)","Commander 680E","L"
"LandPlane","L2P","AC68","2","Piston","AERO (1)","Commander 680F","L"
"LandPlane","L2P","AC72","2","Piston","AERO (1)","Commander 720 Alti Cruiser","L"
"LandPlane","L2P","AC56","2","Piston","AERO (1)","L-26B Commander 560","L"
"LandPlane","L2P","AC68","2","Piston","AERO (1)","L-26C Commander 680 Super","L"
"LandPlane","L2P","AC56","2","Piston","AERO (1)","U-4A Commander 560","L"
"LandPlane","L2P","AC68","2","Piston","AERO (1)","U-4B Commander 680 Super","L"
"LandPlane","L2P","AC68","2","Piston","AERO (1)","U-9 Commander 680 Super","L"
"LandPlane","L2P","AE45","2","Piston","AERO (2)","45","L"
"LandPlane","L1T","A270","1","Turboprop/Turboshaft","AERO (2)","Ae-270 Ibis","L"
